Record Length,4500,,Source,CH1
Sample Interval,CH1:0.0000000100000,,Second,Volt
,,,-0.00001761000,2.60000,
,,,-0.00001760000,2.60000,
,,,-0.00001759000,2.64000,
,,,-0.00001758000,2.68000,
,,,-0.00001757000,2.68000,
,,,-0.00001756000,2.68000,
,,,-0.00001755000,2.68000,
,,,-0.00001754000,2.68000,
,,,-0.00001753000,2.64000,
,,,-0.00001752000,2.64000,
,,,-0.00001751000,2.68000,
,,,-0.00001750000,2.68000,
,,,-0.00001749000,2.64000,
,,,-0.00001748000,2.68000,
,,,-0.00001747000,2.64000,
,,,-0.00001746000,2.64000,
,,,-0.00001745000,2.60000,
,,,-0.00001744000,2.64000,
,,,-0.00001743000,2.60000,
,,,-0.00001742000,2.60000,
,,,-0.00001741000,2.68000,
,,,-0.00001740000,2.68000,
,,,-0.00001739000,2.68000,
,,,-0.00001738000,2.68000,
,,,-0.00001737000,2.64000,
,,,-0.00001736000,2.64000,
,,,-0.00001735000,2.68000,
,,,-0.00001734000,2.68000,
,,,-0.00001733000,2.68000,
,,,-0.00001732000,2.68000,
,,,-0.00001731000,2.60000,
,,,-0.00001730000,2.68000,
,,,-0.00001729000,2.68000,
,,,-0.00001728000,2.64000,
,,,-0.00001727000,2.64000,
,,,-0.00001726000,2.68000,
,,,-0.00001725000,2.60000,
,,,-0.00001724000,2.64000,
,,,-0.00001723000,2.64000,
,,,-0.00001722000,2.68000,
,,,-0.00001721000,2.68000,
,,,-0.00001720000,2.68000,
,,,-0.00001719000,2.60000,
,,,-0.00001718000,2.68000,
,,,-0.00001717000,2.68000,
,,,-0.00001716000,2.64000,
,,,-0.00001715000,2.64000,
,,,-0.00001714000,2.68000,
,,,-0.00001713000,2.68000,
,,,-0.00001712000,2.68000,
,,,-0.00001711000,2.64000,
,,,-0.00001710000,2.64000,
,,,-0.00001709000,2.68000,
,,,-0.00001708000,2.64000,
,,,-0.00001707000,2.60000,
,,,-0.00001706000,2.60000,
,,,-0.00001705000,2.68000,
,,,-0.00001704000,2.64000,
,,,-0.00001703000,2.68000,
,,,-0.00001702000,2.68000,
,,,-0.00001701000,2.68000,
,,,-0.00001700000,2.68000,
,,,-0.00001699000,2.68000,
,,,-0.00001698000,2.60000,
,,,-0.00001697000,2.68000,
,,,-0.00001696000,2.64000,
,,,-0.00001695000,2.60000,
,,,-0.00001694000,2.60000,
,,,-0.00001693000,2.68000,
,,,-0.00001692000,2.68000,
,,,-0.00001691000,2.68000,
,,,-0.00001690000,2.68000,
,,,-0.00001689000,2.64000,
,,,-0.00001688000,2.64000,
,,,-0.00001687000,2.60000,
,,,-0.00001686000,2.64000,
,,,-0.00001685000,2.60000,
,,,-0.00001684000,2.68000,
,,,-0.00001683000,2.68000,
,,,-0.00001682000,2.68000,
,,,-0.00001681000,2.68000,
,,,-0.00001680000,2.68000,
,,,-0.00001679000,2.68000,
,,,-0.00001678000,2.60000,
,,,-0.00001677000,2.64000,
,,,-0.00001676000,2.64000,
,,,-0.00001675000,2.68000,
,,,-0.00001674000,2.68000,
,,,-0.00001673000,2.68000,
,,,-0.00001672000,2.68000,
,,,-0.00001671000,2.68000,
,,,-0.00001670000,2.64000,
,,,-0.00001669000,2.64000,
,,,-0.00001668000,2.64000,
,,,-0.00001667000,2.64000,
,,,-0.00001666000,2.68000,
,,,-0.00001665000,2.64000,
,,,-0.00001664000,2.60000,
,,,-0.00001663000,2.68000,
,,,-0.00001662000,2.64000,
,,,-0.00001661000,2.64000,
,,,-0.00001660000,2.68000,
,,,-0.00001659000,2.68000,
,,,-0.00001658000,2.68000,
,,,-0.00001657000,2.68000,
,,,-0.00001656000,2.68000,
,,,-0.00001655000,2.68000,
,,,-0.00001654000,2.68000,
,,,-0.00001653000,2.60000,
,,,-0.00001652000,2.64000,
,,,-0.00001651000,2.64000,
,,,-0.00001650000,2.64000,
,,,-0.00001649000,2.64000,
,,,-0.00001648000,2.68000,
,,,-0.00001647000,2.68000,
,,,-0.00001646000,2.64000,
,,,-0.00001645000,2.68000,
,,,-0.00001644000,2.64000,
,,,-0.00001643000,2.68000,
,,,-0.00001642000,2.64000,
,,,-0.00001641000,2.64000,
,,,-0.00001640000,2.68000,
,,,-0.00001639000,2.68000,
,,,-0.00001638000,2.68000,
,,,-0.00001637000,2.60000,
,,,-0.00001636000,2.68000,
,,,-0.00001635000,2.68000,
,,,-0.00001634000,2.64000,
,,,-0.00001633000,2.64000,
,,,-0.00001632000,2.64000,
,,,-0.00001631000,2.68000,
,,,-0.00001630000,2.68000,
,,,-0.00001629000,2.68000,
,,,-0.00001628000,2.60000,
,,,-0.00001627000,2.64000,
,,,-0.00001626000,2.64000,
,,,-0.00001625000,2.64000,
,,,-0.00001624000,2.64000,
,,,-0.00001623000,2.68000,
,,,-0.00001622000,2.60000,
,,,-0.00001621000,2.68000,
,,,-0.00001620000,2.68000,
,,,-0.00001619000,2.60000,
,,,-0.00001618000,2.68000,
,,,-0.00001617000,2.64000,
,,,-0.00001616000,2.64000,
,,,-0.00001615000,2.60000,
,,,-0.00001614000,2.68000,
,,,-0.00001613000,2.68000,
,,,-0.00001612000,2.68000,
,,,-0.00001611000,2.68000,
,,,-0.00001610000,2.68000,
,,,-0.00001609000,2.64000,
,,,-0.00001608000,2.60000,
,,,-0.00001607000,2.60000,
,,,-0.00001606000,2.64000,
,,,-0.00001605000,2.68000,
,,,-0.00001604000,2.68000,
,,,-0.00001603000,2.64000,
,,,-0.00001602000,2.68000,
,,,-0.00001601000,2.60000,
,,,-0.00001600000,2.68000,
,,,-0.00001599000,2.64000,
,,,-0.00001598000,2.64000,
,,,-0.00001597000,2.64000,
,,,-0.00001596000,2.68000,
,,,-0.00001595000,2.60000,
,,,-0.00001594000,2.64000,
,,,-0.00001593000,2.64000,
,,,-0.00001592000,2.60000,
,,,-0.00001591000,2.68000,
,,,-0.00001590000,2.60000,
,,,-0.00001589000,2.64000,
,,,-0.00001588000,2.64000,
,,,-0.00001587000,2.64000,
,,,-0.00001586000,2.64000,
,,,-0.00001585000,2.64000,
,,,-0.00001584000,2.64000,
,,,-0.00001583000,2.60000,
,,,-0.00001582000,2.64000,
,,,-0.00001581000,2.60000,
,,,-0.00001580000,2.60000,
,,,-0.00001579000,2.64000,
,,,-0.00001578000,2.68000,
,,,-0.00001577000,2.64000,
,,,-0.00001576000,2.64000,
,,,-0.00001575000,2.68000,
,,,-0.00001574000,2.64000,
,,,-0.00001573000,2.68000,
,,,-0.00001572000,2.68000,
,,,-0.00001571000,2.68000,
,,,-0.00001570000,2.64000,
,,,-0.00001569000,2.68000,
,,,-0.00001568000,2.64000,
,,,-0.00001567000,2.68000,
,,,-0.00001566000,2.68000,
,,,-0.00001565000,2.60000,
,,,-0.00001564000,2.68000,
,,,-0.00001563000,2.60000,
,,,-0.00001562000,2.60000,
,,,-0.00001561000,2.60000,
,,,-0.00001560000,2.64000,
,,,-0.00001559000,2.64000,
,,,-0.00001558000,2.68000,
,,,-0.00001557000,2.68000,
,,,-0.00001556000,2.64000,
,,,-0.00001555000,2.60000,
,,,-0.00001554000,2.68000,
,,,-0.00001553000,2.64000,
,,,-0.00001552000,2.68000,
,,,-0.00001551000,2.68000,
,,,-0.00001550000,2.68000,
,,,-0.00001549000,2.64000,
,,,-0.00001548000,2.68000,
,,,-0.00001547000,2.64000,
,,,-0.00001546000,2.64000,
,,,-0.00001545000,2.68000,
,,,-0.00001544000,2.68000,
,,,-0.00001543000,2.68000,
,,,-0.00001542000,2.68000,
,,,-0.00001541000,2.68000,
,,,-0.00001540000,2.64000,
,,,-0.00001539000,2.68000,
,,,-0.00001538000,2.60000,
,,,-0.00001537000,2.60000,
,,,-0.00001536000,2.64000,
,,,-0.00001535000,2.68000,
,,,-0.00001534000,2.68000,
,,,-0.00001533000,2.68000,
,,,-0.00001532000,2.64000,
,,,-0.00001531000,2.64000,
,,,-0.00001530000,2.68000,
,,,-0.00001529000,2.60000,
,,,-0.00001528000,2.64000,
,,,-0.00001527000,2.68000,
,,,-0.00001526000,2.60000,
,,,-0.00001525000,2.64000,
,,,-0.00001524000,2.60000,
,,,-0.00001523000,2.64000,
,,,-0.00001522000,2.64000,
,,,-0.00001521000,2.68000,
,,,-0.00001520000,2.64000,
,,,-0.00001519000,2.68000,
,,,-0.00001518000,2.64000,
,,,-0.00001517000,2.60000,
,,,-0.00001516000,2.60000,
,,,-0.00001515000,2.60000,
,,,-0.00001514000,2.64000,
,,,-0.00001513000,2.64000,
,,,-0.00001512000,2.68000,
,,,-0.00001511000,2.64000,
,,,-0.00001510000,2.68000,
,,,-0.00001509000,2.68000,
,,,-0.00001508000,2.60000,
,,,-0.00001507000,2.60000,
,,,-0.00001506000,2.64000,
,,,-0.00001505000,2.64000,
,,,-0.00001504000,2.68000,
,,,-0.00001503000,2.68000,
,,,-0.00001502000,2.64000,
,,,-0.00001501000,2.64000,
,,,-0.00001500000,2.68000,
,,,-0.00001499000,2.68000,
,,,-0.00001498000,2.64000,
,,,-0.00001497000,2.64000,
,,,-0.00001496000,2.60000,
,,,-0.00001495000,2.60000,
,,,-0.00001494000,2.68000,
,,,-0.00001493000,2.68000,
,,,-0.00001492000,2.60000,
,,,-0.00001491000,2.64000,
,,,-0.00001490000,2.68000,
,,,-0.00001489000,2.68000,
,,,-0.00001488000,2.64000,
,,,-0.00001487000,2.68000,
,,,-0.00001486000,2.64000,
,,,-0.00001485000,2.68000,
,,,-0.00001484000,2.60000,
,,,-0.00001483000,2.64000,
,,,-0.00001482000,2.68000,
,,,-0.00001481000,2.60000,
,,,-0.00001480000,2.60000,
,,,-0.00001479000,2.64000,
,,,-0.00001478000,2.60000,
,,,-0.00001477000,2.64000,
,,,-0.00001476000,2.68000,
,,,-0.00001475000,2.68000,
,,,-0.00001474000,2.64000,
,,,-0.00001473000,2.68000,
,,,-0.00001472000,2.60000,
,,,-0.00001471000,2.60000,
,,,-0.00001470000,2.60000,
,,,-0.00001469000,2.64000,
,,,-0.00001468000,2.68000,
,,,-0.00001467000,2.68000,
,,,-0.00001466000,2.68000,
,,,-0.00001465000,2.64000,
,,,-0.00001464000,2.68000,
,,,-0.00001463000,2.60000,
,,,-0.00001462000,2.64000,
,,,-0.00001461000,2.68000,
,,,-0.00001460000,2.64000,
,,,-0.00001459000,2.68000,
,,,-0.00001458000,2.68000,
,,,-0.00001457000,2.60000,
,,,-0.00001456000,2.60000,
,,,-0.00001455000,2.64000,
,,,-0.00001454000,2.60000,
,,,-0.00001453000,2.68000,
,,,-0.00001452000,2.68000,
,,,-0.00001451000,2.64000,
,,,-0.00001450000,2.68000,
,,,-0.00001449000,2.64000,
,,,-0.00001448000,2.64000,
,,,-0.00001447000,2.68000,
,,,-0.00001446000,2.64000,
,,,-0.00001445000,2.64000,
,,,-0.00001444000,2.68000,
,,,-0.00001443000,2.68000,
,,,-0.00001442000,2.68000,
,,,-0.00001441000,2.64000,
